Nama_HP,Harga_Juta,RAM_GB,ROM_GB,Baterai_mAh,Kamera_MP,AnTuTu_Ribu
Samsung Galaxy A05,1.6,4,128,5000,50,200
Samsung Galaxy A05s,2.1,6,128,5000,50,300
Samsung Galaxy A15,2.7,8,128,5000,50,400
Samsung Galaxy A15 5G,3.3,8,256,5000,50,420
Samsung Galaxy A25 5G,4.0,8,256,5000,50,480
Samsung Galaxy A35 5G,5.0,8,256,5000,50,580
Samsung Galaxy A55 5G,6.0,8,256,5000,50,720
Samsung Galaxy S23 FE,8.5,8,256,4500,50,1100
Samsung Galaxy S23,10.5,8,256,3900,50,1500
Samsung Galaxy S23 Ultra,17.0,12,512,5000,200,1550
Samsung Galaxy S24,13.0,8,256,4000,50,1600
Samsung Galaxy S24 Ultra,19.0,12,512,5000,200,1900
Samsung Galaxy Z Flip5,14.0,8,512,3700,12,1500
Samsung Galaxy Z Fold5,22.0,12,512,4400,50,1550
Samsung Galaxy M14 5G,2.0,6,128,6000,50,350
Samsung Galaxy M34 5G,3.5,8,128,6000,50,480
Samsung Galaxy M54 5G,5.5,8,256,6000,108,580
Xiaomi Redmi 12,2.0,8,128,5000,50,250
Xiaomi Redmi 13C,1.5,6,128,5000,50,220
Xiaomi Redmi Note 12,2.3,8,128,5000,50,300
Xiaomi Redmi Note 12 Pro 5G,4.2,8,256,5000,50,500
Xiaomi Redmi Note 13 4G,2.4,8,256,5000,108,320
Xiaomi Redmi Note 13 5G,3.0,8,256,5000,108,400
Xiaomi Redmi Note 13 Pro 5G,4.5,8,256,5100,200,600
Xiaomi Redmi Note 13 Pro+ 5G,5.8,12,512,5000,200,800
Xiaomi 13T,6.5,12,256,5000,50,900
Xiaomi 14,12.0,12,256,4610,50,1900
Poco C65,1.7,8,256,5000,50,220
Poco M6 Pro,2.8,8,256,5000,64,400
Poco X6 5G,3.8,12,256,5100,64,600
Poco X6 Pro 5G,4.8,12,512,5000,64,1300
Poco F5,5.2,12,256,5000,64,1100
Poco F6,6.0,12,512,5000,50,1500
Infinix Smart 8,1.1,4,128,5000,13,180
Infinix Hot 30i,1.5,8,128,5000,50,200
Infinix Hot 40 Pro,2.1,8,256,5000,108,420
Infinix Note 30,2.1,8,256,5000,64,400
Infinix Note 30 Pro,2.6,8,256,5000,108,420
Infinix Note 40,2.5,8,256,5000,108,430
Infinix Note 40 Pro,3.5,8,256,5000,108,500
Infinix Zero 30 5G,4.1,12,256,5000,108,600
Infinix GT 10 Pro,3.3,8,256,5000,108,700
Infinix GT 20 Pro,4.5,12,256,5000,108,900
Tecno Spark 20,1.8,8,256,5000,50,250
Tecno Spark 20 Pro,2.4,12,256,5000,108,400
Tecno Spark 20 Pro+,2.7,8,256,5000,108,420
Tecno Pova 5 Pro 5G,2.6,8,256,5000,50,420
Tecno Pova 6,2.8,12,256,6000,108,450
Tecno Camon 20 Premier,4.5,8,512,5000,50,650
Itel P55 5G,1.6,6,128,5000,50,400
Itel S23+,2.2,8,256,5000,50,280
Realme C51s,1.4,6,128,5000,50,220
Realme C53,1.9,6,128,5000,50,250
Realme C55,2.3,8,256,5000,64,270
Realme C67,2.5,8,256,5000,108,300
Realme 11,3.3,8,256,5000,108,420
Realme 11 Pro 5G,4.0,8,256,5000,100,550
Realme 11 Pro+ 5G,5.5,12,512,5000,200,550
Realme 12+ 5G,4.2,8,256,5000,50,580
Realme 12 Pro+ 5G,6.0,8,256,5000,50,600
Realme GT 6,7.5,12,256,5500,50,1500
Oppo A18,1.5,4,128,5000,8,200
Oppo A38,1.9,4,128,5000,50,220
Oppo A58,2.4,6,128,5000,50,250
Oppo A78 4G,3.4,8,256,5000,50,300
Oppo A79 5G,3.7,8,256,5000,50,400
Oppo Reno 11 F 5G,4.6,8,256,5000,64,550
Oppo Reno 11 5G,6.0,8,256,5000,50,550
Oppo Reno 11 Pro 5G,9.0,12,512,4600,50,900
Oppo Find N3 Flip,14.5,12,256,4300,50,1000
Vivo Y17s,1.4,4,64,5000,50,220
Vivo Y27s,2.4,8,128,5000,50,280
Vivo Y36 5G,3.5,8,256,5000,50,400
Vivo Y100 5G,3.9,8,256,5000,50,450
Vivo V29e,4.4,8,256,4800,64,450
Vivo V29 5G,6.0,8,256,4600,50,550
Vivo V30 5G,6.0,8,256,5000,50,830
Vivo V30 Pro 5G,9.0,12,512,5000,50,950
Vivo X100,12.0,12,256,5000,50,2000
Vivo X100 Pro,16.0,16,512,5400,50,2100
iPhone 11,6.5,4,128,3110,12,600
iPhone 12,8.0,4,128,2815,12,750
iPhone 13,10.0,4,128,3240,12,850
iPhone 14,12.0,6,128,3279,12,900
iPhone 14 Plus,14.0,6,128,4323,12,900
iPhone 15,14.5,6,128,3349,48,1400
iPhone 15 Plus,16.5,6,128,4383,48,1400
iPhone 15 Pro,19.0,8,128,3274,48,1550
iPhone 15 Pro Max,23.0,8,256,4441,48,1600
Asus ROG Phone 7,10.0,8,256,6000,50,1300
Asus ROG Phone 8,11.0,12,256,5500,50,1700
Asus Zenfone 10,10.0,8,128,4300,50,1300
Google Pixel 7a,7.5,8,128,4385,64,750
Google Pixel 8,11.0,8,128,4575,50,1000
Google Pixel 8 Pro,15.0,12,128,5050,50,1050
Huawei P60 Pro,15.0,8,256,4815,48,1100
Huawei Mate 60 Pro,18.0,12,512,5000,50,1000
ZTE Nubia Neo 5G,2.8,8,256,4500,50,420
ZTE Nubia Red Magic 9 Pro,12.0,12,256,6500,50,2100